"Part";"Value";"Device";"Package";"Description";"DM";"DR";"DX";"DY";"HEIGHT";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"SHEETNO";"TP_SIGNAL_NAME";
"ACLK";"DNP";"TP05";"TP0500";"";"";"";"";"";"0";"";"";"";"";"";"";
"ACS0";"DNP";"TP05";"TP0500";"";"";"";"";"";"0";"";"";"";"";"";"";
"ARX";"DNP";"TP05";"TP0500";"";"";"";"";"";"0";"";"";"";"";"";"";
"ATX";"DNP";"TP05";"TP0500";"";"";"";"";"";"0";"";"";"";"";"";"";
"BOOT0";"DNP";"TP05";"TP0500";"";"";"";"";"";"0";"";"";"";"";"";"";
"BT4";"DNP";"TP05";"TP0500";"";"";"";"";"";"0";"";"";"";"";"";"";
"BTEN";"DNP";"TP05";"TP0500";"";"";"";"";"";"0";"";"";"";"";"";"";
"C1";"1.0uF";"C0402";"0402";"";"0";"0.000";"30.550";"33.500";"0.35";"";"";"";"";"6";"";
"C2";"0.1uF";"C0201";"0201";"";"0";"0.000";"30.550";"33.500";"0.25";"";"";"";"";"6";"";
"C3";"0.1uF";"C0201";"0201";"";"0";"0.000";"30.550";"33.500";"0.25";"";"";"";"";"6";"";
"C4";"10uF";"C0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"C5";"10uF";"C0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"C6";"0.1uF";"C0201";"0201";"";"0";"0.000";"30.550";"33.500";"0.25";"";"";"";"";"6";"";
"C7";"0.1uF";"C0201";"0201";"";"0";"0.000";"30.550";"33.500";"0.25";"";"";"";"";"6";"";
"C8";"1.0uF";"C0402";"0402";"";"0";"0.000";"30.550";"33.500";"0.35";"";"";"";"";"6";"";
"C9";"0.1uF";"C0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"C10";"0.1uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C11";"100uF";"CPANASONIC_D";"PANASONIC_D";"";"";"";"";"";"";"";"";"";"";"";"";
"C12";"10uF / 25V";"C1206";"1206";"";"";"";"";"";"0.51";"";"";"";"";"";"";
"C13";"0.22uF";"C0603";"0603";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"C14";"22pF";"C0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"C15";"22pF";"C0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"C16";"0.1uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C17";"0.1uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C18";"0.1uF";"C0201";"0201";"";"0";"0.000";"30.550";"33.500";"0.25";"";"";"";"";"6";"";
"C19";"0.1uF";"C0201";"0201";"";"0";"0.000";"30.550";"33.500";"0.25";"";"";"";"";"6";"";
"C20";"1.0uF";"C0201";"0201";"";"0";"0.000";"30.550";"33.500";"0.25";"";"";"";"";"6";"";
"C21";"0.1uF";"C0201";"0201";"";"0";"0.000";"30.550";"33.500";"0.25";"";"";"";"";"6";"";
"C22";"0.1uF";"C0201";"0201";"";"0";"0.000";"30.550";"33.500";"0.25";"";"";"";"";"6";"";
"C23";"1.0uF";"C0402";"0402";"";"0";"0.000";"30.550";"33.500";"0.35";"";"";"";"";"6";"";
"C26";"10uF";"C0603";"0603";"";"0";"90.000";"56.200";"38.400";"0.5";"";"";"";"";"2";"";
"C27";"0.01uF";"C0402";"0402";"";"0";"90.000";"47.400";"38.400";"0.35";"";"";"";"";"2";"";
"C28";"0.1uF";"C0402";"0402";"";"0";"90.000";"5.600";"28.400";"0.35";"";"";"";"";"2";"";
"C29";"100uF";"C1206";"1206";"";"";"";"";"";"0.51";"";"";"";"";"";"";
"C30";"100uF";"C1206";"1206";"";"";"";"";"";"0.51";"";"";"";"";"";"";
"C31";"100uF";"C1206";"1206";"";"";"";"";"";"0.51";"";"";"";"";"";"";
"C32";"100uF";"C1206";"1206";"";"";"";"";"";"0.51";"";"";"";"";"";"";
"C33";"1.0uF";"C0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"C34";"0.1uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C35";"1.0uF";"C0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"C36";"0.1uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C37";"1.0uF";"C0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"C38";"0.1uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C39";"10uF";"C0603";"0603";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"C40";"1.0uF";"C0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"C41";"0.1uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C42";"1.0uF";"C0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"C51";"0.1uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C52";"0.47uF";"C0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"C53";"0.47uF";"C0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"C54";"0.47uF";"C0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"C55";"0.1uF";"C0201";"0201";"";"0";"0.000";"30.550";"33.500";"0.25";"";"";"";"";"6";"";
"C56";"0.1uF";"C0201";"0201";"";"0";"0.000";"30.550";"33.500";"0.25";"";"";"";"";"6";"";
"C57";"4.7uF";"C0603";"0603";"";"0";"180.000";"70.250";"17.350";"0.5";"";"";"";"";"5";"";
"C58";"0.1uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C59";"22uF";"C0805";"0805";"";"";"";"";"";"0.51";"";"";"";"";"";"";
"C60";"10pF";"C0402";"0402";"";"0";"-270.000";"-17.200";"6.600";"0.35";"";"";"";"";"9";"";
"C61";"0.1uF / 16V";"C0402";"0402";"";"0";"-90.000";"1.400";"-9.000";"0.35";"";"";"";"";"9";"";
"C62";"1.0uF";"C0603";"0603";"";"0";"270.000";"78.200";"21.800";"0.5";"";"";"";"";"1";"";
"C63";"10uF / 16V";"C0805";"0805";"";"0";"0.000";"74.600";"25.600";"0.51";"";"";"";"";"1";"";
"C64";"22uF";"C0805";"0805";"";"0";"270.000";"71.300";"21.800";"0.51";"";"";"";"";"1";"";
"C65";"1.0uF";"C0402";"0402";"";"0";"90.000";"5.600";"28.400";"0.35";"";"";"";"";"2";"";
"C66";"DNP";"C0402";"0402";"";"0";"90.000";"5.600";"28.400";"0.35";"";"";"";"";"2";"";
"C67";"0.1uF";"C0402";"0402";"";"0";"90.000";"5.600";"28.400";"0.35";"";"";"";"";"2";"";
"C68";"DNP";"C0402";"0402";"";"0";"90.000";"5.600";"28.400";"0.35";"";"";"";"";"2";"";
"C69";"0.1uF";"C0402";"0402";"";"0";"90.000";"5.600";"28.400";"0.35";"";"";"";"";"2";"";
"C70";"1.0uF";"C0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"C71";"0.1uF";"C0402";"0402";"";"0";"90.000";"5.600";"28.400";"0.35";"";"";"";"";"2";"";
"C72";"1.0uF";"C0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"C73";"0.1uF";"C0402";"0402";"";"0";"90.000";"5.600";"28.400";"0.35";"";"";"";"";"2";"";
"C74";"0.1uF";"C0402";"0402";"";"0";"90.000";"5.600";"28.400";"0.35";"";"";"";"";"2";"";
"C75";"0.1uF";"C0402";"0402";"";"0";"90.000";"5.600";"28.400";"0.35";"";"";"";"";"2";"";
"C76";"0.1uF";"C0402";"0402";"";"0";"90.000";"5.600";"28.400";"0.35";"";"";"";"";"2";"";
"C77";"0.1uF";"C0402";"0402";"";"0";"90.000";"5.600";"28.400";"0.35";"";"";"";"";"2";"";
"C78";"0.1uF";"C0402";"0402";"";"0";"90.000";"5.600";"28.400";"0.35";"";"";"";"";"2";"";
"C79";"0.1uF";"C0402";"0402";"";"0";"90.000";"5.600";"28.400";"0.35";"";"";"";"";"2";"";
"C80";"0.1uF";"C0402";"0402";"";"0";"90.000";"5.600";"28.400";"0.35";"";"";"";"";"2";"";
"C81";"1.0uF";"C0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"C82";"4.7uF";"C0603";"0603";"";"0";"0.000";"66.900";"11.100";"0.5";"";"";"";"";"4";"";
"C83";"22pF";"C0402";"0402";"";"0";"-270.000";"-17.200";"6.600";"0.35";"";"";"";"";"9";"";
"C84";"22pF";"C0402";"0402";"";"0";"-90.000";"-20.800";"6.600";"0.35";"";"";"";"";"9";"";
"C86";"10uF/50V";"C1206";"1206";"";"";"";"";"";"0.51";"";"";"";"";"";"";
"C87";"10nF";"C0603";"0603";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"C88";"0.01uF";"C0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"C89";"0.01uF";"C0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"C90";"330uF";"CPANASONIC_F";"PANASONIC_F";"";"";"";"";"";"";"";"";"";"";"";"";
"C91";"0.1uF";"C0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"C92";"10uF";"C0603";"0603";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"C93";"0.1uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C94";"0.1uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C95";"1.0uF";"C0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"C96";"0.1uF";"C0201";"0201";"";"0";"0.000";"30.550";"33.500";"0.25";"";"";"";"";"6";"";
"C97";"0.1uF";"C0201";"0201";"";"0";"0.000";"30.550";"33.500";"0.25";"";"";"";"";"6";"";
"C98";"1.0uF";"C0402";"0402";"";"0";"0.000";"30.550";"33.500";"0.35";"";"";"";"";"6";"";
"C99";"10uF";"C0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"C100";"10uF";"C0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"C101";"0.1uF";"C0201";"0201";"";"0";"0.000";"30.550";"33.500";"0.25";"";"";"";"";"6";"";
"C102";"0.1uF";"C0201";"0201";"";"0";"0.000";"30.550";"33.500";"0.25";"";"";"";"";"6";"";
"C103";"1.0uF";"C0402";"0402";"";"0";"0.000";"30.550";"33.500";"0.35";"";"";"";"";"6";"";
"C104";"0.1uF";"C0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"C105";"10uF/50V";"C1206";"1206";"";"";"";"";"";"0.51";"";"";"";"";"";"";
"C106";"0.1uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C107";"100uF";"CPANASONIC_D";"PANASONIC_D";"";"";"";"";"";"";"";"";"";"";"";"";
"C108";"10uF / 25V";"C1206";"1206";"";"";"";"";"";"0.51";"";"";"";"";"";"";
"C109";"0.22uF";"C0603";"0603";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"C110";"22pF";"C0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"C111";"22pF";"C0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"C112";"0.1uF";"C0201";"0201";"";"0";"0.000";"30.550";"33.500";"0.25";"";"";"";"";"6";"";
"C113";"0.1uF";"C0201";"0201";"";"0";"0.000";"30.550";"33.500";"0.25";"";"";"";"";"6";"";
"C114";"1.0uF";"C0402";"0402";"";"0";"0.000";"30.550";"33.500";"0.35";"";"";"";"";"6";"";
"C115";"0.1uF";"C0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"C116";"10uF";"C0603";"0603";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"C117";"10uF";"C0603";"0603";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"C118";"0.1uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C119";"0.1uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C120";"4.7uF";"C0603";"0603";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"C121";"22pF";"C0402";"0402";"";"0";"-270.000";"-17.200";"6.600";"0.35";"";"";"";"";"9";"";
"C122";"22pF";"C0402";"0402";"";"0";"-90.000";"-20.800";"6.600";"0.35";"";"";"";"";"9";"";
"C123";"0.1uF";"C0201";"0201";"";"0";"90.000";"5.600";"28.400";"0.25";"";"";"";"";"2";"";
"C124";"4.7uF";"C0603";"0603";"";"0";"0.000";"66.900";"11.100";"0.5";"";"";"";"";"4";"";
"C125";"0.1uF";"C0201";"0201";"";"0";"90.000";"5.600";"28.400";"0.25";"";"";"";"";"2";"";
"C126";"0.1uF";"C0201";"0201";"";"0";"90.000";"5.600";"28.400";"0.25";"";"";"";"";"2";"";
"C127";"0.1uF";"C0201";"0201";"";"0";"90.000";"5.600";"28.400";"0.25";"";"";"";"";"2";"";
"C128";"0.1uF";"C0201";"0201";"";"0";"90.000";"5.600";"28.400";"0.25";"";"";"";"";"2";"";
"C129";"0.1uF";"C0201";"0201";"";"0";"90.000";"5.600";"28.400";"0.25";"";"";"";"";"2";"";
"C130";"0.1uF";"C0201";"0201";"";"0";"90.000";"5.600";"28.400";"0.25";"";"";"";"";"2";"";
"C131";"1.0uF";"C0402";"0402";"";"0";"90.000";"5.600";"28.400";"0.35";"";"";"";"";"2";"";
"C132";"0.01uF";"C0201";"0201";"";"0";"90.000";"5.600";"28.400";"0.25";"";"";"";"";"2";"";
"C133";"1.0uF";"C0402";"0402";"";"0";"90.000";"5.600";"28.400";"0.35";"";"";"";"";"2";"";
"C134";"0.01uF";"C0201";"0201";"";"0";"90.000";"5.600";"28.400";"0.25";"";"";"";"";"2";"";
"C135";"2.2uF";"C0603";"0603";"";"0";"90.000";"5.600";"28.400";"0.5";"";"";"";"";"2";"";
"C136";"2.2uF";"C0603";"0603";"";"0";"90.000";"5.600";"28.400";"0.5";"";"";"";"";"2";"";
"C137";"4.7uF";"C0603";"0603";"";"0";"180.000";"70.250";"17.350";"0.5";"";"";"";"";"5";"";
"C138";"0.1uF";"C0201";"0201";"";"0";"90.000";"5.600";"28.400";"0.25";"";"";"";"";"2";"";
"C139";"0.1uF";"C0201";"0201";"";"0";"0.000";"30.550";"33.500";"0.25";"";"";"";"";"6";"";
"C140";"0.1uF";"C0201";"0201";"";"0";"0.000";"30.550";"33.500";"0.25";"";"";"";"";"6";"";
"C141";"1.0uF";"C0201";"0201";"";"0";"0.000";"30.550";"33.500";"0.25";"";"";"";"";"6";"";
"C142";"0.1uF";"C0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"C143";"10pF";"C0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"C144";"0.1uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C145";"0.1uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C146";"0.1uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C147";"0.1uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C148";"0.1uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C149";"0.1uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C150";"0.1uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C151";"0.1uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C152";"0.1uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C153";"0.1uF";"C0402";"0402";"";"0";"0.000";"28.500";"22.150";"0.35";"";"";"";"";"6";"";
"C154";"0.1uF";"C0402";"0402";"";"0";"180.000";"18.750";"22.200";"0.35";"";"";"";"";"6";"";
"C155";"0.1uF";"C0402";"0402";"";"0";"180.000";"30.100";"7.400";"0.35";"";"";"";"";"6";"";
"C156";"0.1uF";"C0402";"0402";"";"0";"180.000";"16.400";"25.850";"0.35";"";"";"";"";"6";"";
"C157";"0.1uF";"C0402";"0402";"";"0";"90.000";"31.900";"17.000";"0.35";"";"";"";"";"6";"";
"C158";"10uF";"C0603";"0603";"";"0";"0.000";"33.150";"23.850";"0.5";"";"";"";"";"6";"";
"C159";"10uF";"C0603";"0603";"";"0";"90.000";"29.300";"24.900";"0.5";"";"";"";"";"6";"";
"C160";"10uF";"C0603";"0603";"";"0";"180.000";"19.150";"25.700";"0.5";"";"";"";"";"6";"";
"C161";"0.1uF";"C0402";"0402";"";"0";"0.000";"30.550";"33.500";"0.35";"";"";"";"";"6";"";
"C162";"0.1uF";"C0402";"0402";"";"0";"0.000";"30.550";"33.500";"0.35";"";"";"";"";"6";"";
"C163";"0.1uF";"C0402";"0402";"";"0";"180.000";"18.750";"22.200";"0.35";"";"";"";"";"6";"";
"C164";"1.0uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C165";"1.0uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C166";"1.0uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C167";"1.0uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C168";"12pF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C169";"12pF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C170";"12pF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C171";"12pF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C172";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C173";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C174";"0.1uF";"C0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"C175";"10pF";"C0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"C176";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C177";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C178";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C179";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C180";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C181";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C182";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C183";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C184";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C185";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C186";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C187";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C188";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C189";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C190";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C191";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C192";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C193";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C194";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C195";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C196";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C197";"10uF";"C0603";"0603";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"C198";"10uF";"C0603";"0603";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"C199";"10uF";"C0603";"0603";"";"";"";"";"";"0.5";"";"";"";"";"";"";
