"Part";"Value";"Device";"Package";"Description";"DM";"DR";"DX";"DY";"HEIGHT";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"SHEETNO";"TP_SIGNAL_NAME";
"C200";"10uF";"C0603";"0603";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"C201";"10uF";"C0603";"0603";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"C202";"10uF";"C0603";"0603";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"C203";"10uF";"C0603";"0603";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"C204";"10uF";"C0603";"0603";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"C205";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C206";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C207";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C208";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C209";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C210";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C211";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C212";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C213";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C214";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C215";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C216";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C217";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C218";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C219";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C220";"0.1uF";"C0201";"0201";"";"0";"0.000";"66.300";"12.650";"0.25";"";"";"";"";"4";"";
"C221";"4.7uF";"C0603";"0603";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"C222";"22uF";"C0805";"0805";"";"";"";"";"";"0.51";"";"";"";"";"";"";
"C223";"0.1uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C224";"10uF";"C0603";"0603";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"C225";"4.7uF";"C0603";"0603";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"C226";"10uF";"C0603";"0603";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"C227";"10uF";"C0603";"0603";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"C228";"10uF";"C0603";"0603";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"C229";"10uF";"C0603";"0603";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"C230";"10uF";"C0603";"0603";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"C231";"10uF";"C0603";"0603";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"C232";"10uF";"C0603";"0603";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"C233";"10uF";"C0603";"0603";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"C234";"4.7uF_50V";"C1210";"1210";"";"";"";"";"";"2.8";"";"";"";"";"";"";
"C235";"4.7uF";"C0603";"0603";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"C236";"2.2uF";"C0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"C237";"2.2uF";"C0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"C238";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C239";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C240";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C241";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C242";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C243";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C244";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C245";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C246";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C247";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C248";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C249";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C250";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C251";"0.01uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C252";"0.1uF";"C0201";"0201";"";"0";"0.000";"66.300";"12.650";"0.25";"";"";"";"";"4";"";
"C253";"0.1uF";"C0201";"0201";"";"0";"0.000";"66.300";"12.650";"0.25";"";"";"";"";"4";"";
"C254";"0.1uF";"C0201";"0201";"";"0";"0.000";"66.300";"12.650";"0.25";"";"";"";"";"4";"";
"C255";"0.1uF";"C0201";"0201";"";"0";"0.000";"66.300";"12.650";"0.25";"";"";"";"";"4";"";
"C256";"0.1uF";"C0201";"0201";"";"0";"0.000";"66.300";"12.650";"0.25";"";"";"";"";"4";"";
"C257";"0.1uF";"C0201";"0201";"";"0";"0.000";"66.300";"12.650";"0.25";"";"";"";"";"4";"";
"C258";"0.1uF";"C0201";"0201";"";"0";"0.000";"66.300";"12.650";"0.25";"";"";"";"";"4";"";
"C259";"0.1uF";"C0201";"0201";"";"0";"0.000";"66.300";"12.650";"0.25";"";"";"";"";"4";"";
"C260";"0.1uF";"C0201";"0201";"";"0";"0.000";"66.300";"12.650";"0.25";"";"";"";"";"4";"";
"C261";"0.1uF";"C0201";"0201";"";"0";"0.000";"66.300";"12.650";"0.25";"";"";"";"";"4";"";
"C262";"0.1uF";"C0201";"0201";"";"0";"0.000";"66.300";"12.650";"0.25";"";"";"";"";"4";"";
"C263";"10nF";"C0603";"0603";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"C264";"0.01uF";"C0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"C265";"0.01uF";"C0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"C266";"330uF";"CPANASONIC_F";"PANASONIC_F";"";"";"";"";"";"";"";"";"";"";"";"";
"C267";"0.1uF";"C0201";"0201";"";"0";"90.000";"5.600";"28.400";"0.25";"";"";"";"";"2";"";
"C268";"4.7uF";"C0603";"0603";"";"0";"0.000";"66.900";"11.100";"0.5";"";"";"";"";"4";"";
"C269";"0.1uF";"C0201";"0201";"";"0";"90.000";"5.600";"28.400";"0.25";"";"";"";"";"2";"";
"C270";"0.22uF";"C0402";"0402";"";"0";"90.000";"5.600";"28.400";"0.35";"";"";"";"";"2";"";
"C271";"0.01uF / 25V";"C0402";"0402";"";"0";"90.000";"5.600";"28.400";"0.35";"";"";"";"";"2";"";
"C272";"10uF";"C0402";"0402";"";"0";"180.000";"70.250";"11.150";"0.35";"";"";"";"";"5";"";
"C273";"0.1uF";"C0201";"0201";"";"0";"90.000";"5.600";"28.400";"0.25";"";"";"";"";"2";"";
"C274";"0.1uF";"C0201";"0201";"";"0";"90.000";"5.600";"28.400";"0.25";"";"";"";"";"2";"";
"C275";"10uF";"C0402";"0402";"";"0";"90.000";"5.600";"28.400";"0.35";"";"";"";"";"2";"";
"CONN1";"U.FL";"U.FL";"U.FL";"";"";"";"";"";"0.9";"";"";"";"";"";"";
"D1";"RED";"LED0603";"D0603";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"D2";"GREEN";"LED0603";"D0603";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"D3";"PS04LTVA1";"ESD-DIODE";"D0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"D4";"PS04LTVA1";"ESD-DIODE";"D0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"D5";"B72590D50A060";"ESD-DIODE";"D0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"D6";"B72590D50A060";"ESD-DIODE";"D0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"D7";"PS04LTVA1";"ESD-DIODE";"D0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"D8";"PS04LTVA1";"ESD-DIODE";"D0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"D9";"B72590D50A060";"ESD-DIODE";"D0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"D10";"CDBC540-G";"SCHOTTKY-DIODE";"DO-214AB";"Schottky Diode";"";"";"";"";"";"";"";"";"";"";"";
"D11";"BLUE";"LED0603";"D0603";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"D12";"YELLOW";"LED0603";"D0603";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"D13";"PS04LTVA1";"ESD-DIODE";"D0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"D14";"PS04LTVA1";"ESD-DIODE";"D0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"D15";"CDBC540-G";"SCHOTTKY-DIODE";"DO-214AB";"Schottky Diode";"";"";"";"";"";"";"";"";"";"";"";
"D16";"B72590D50A060";"ESD-DIODE";"D0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"D17";"PS04LTVA1";"ESD-DIODE";"D0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"D18";"PS04LTVA1";"ESD-DIODE";"D0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"D19";"B72590D50A060";"ESD-DIODE";"D0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"D20";"B72590D50A060";"ESD-DIODE";"D0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"D21";"PS04LTVA1";"ESD-DIODE";"D0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"D22";"PS04LTVA1";"ESD-DIODE";"D0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"D23";"PS04LTVA1";"ESD-DIODE";"D0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"D24";"PS04LTVA1";"ESD-DIODE";"D0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"D25";"PS04LTVA1";"ESD-DIODE";"D0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"D26";"PS04LTVA1";"ESD-DIODE";"D0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"D27";"PS04LTVA1";"ESD-DIODE";"D0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"D28";"PS04LTVA1";"ESD-DIODE";"D0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"D29";"PS04LTVA1";"ESD-DIODE";"D0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"D30";"PS04LTVA1";"ESD-DIODE";"D0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"D31";"MBRA140T3G";"DSMA";"SMAJ";"";"";"";"";"";"";"";"";"";"";"";"";
"D32";"PS04LTVA1";"ESD-DIODE";"D0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"F1";"0603L100SLYR";"PTC0603";"0603";"Positive Temperature Coefficient Resistor";"";"";"";"";"0.5";"";"";"";"";"";"";
"F2";"0603L100SLYR";"PTC0603";"0603";"Positive Temperature Coefficient Resistor";"";"";"";"";"0.5";"";"";"";"";"";"";
"F3";"2920L500/16MR";"PTC2920";"2920";"Positive Temperature Coefficient Resistor";"";"";"";"";"";"";"";"";"";"";"";
"F4";"0603L100SLYR";"PTC0603";"0603";"Positive Temperature Coefficient Resistor";"";"";"";"";"0.5";"";"";"";"";"";"";
"F5";"0603L100SLYR";"PTC0603";"0603";"Positive Temperature Coefficient Resistor";"";"";"";"";"0.5";"";"";"";"";"";"";
"FB1";"120R 1A";"FB0402";"0402";"";"0";"90.000";"49.400";"38.400";"0.35";"";"";"";"";"2";"";
"FB2";"120R 1A";"FB0402";"0402";"";"0";"90.000";"54.000";"38.400";"0.35";"";"";"";"";"2";"";
"FB3";"120R 1A";"FB0402";"0402";"";"0";"90.000";"49.400";"38.400";"0.35";"";"";"";"";"2";"";
"FB4";"120R 1A";"FB0402";"0402";"";"0";"90.000";"49.400";"38.400";"0.35";"";"";"";"";"2";"";
"FB5";"120R 1A";"FB0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"FB6";"120R 1A";"FB0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"FB7";"120R 1A";"FB0402";"0402";"";"0";"0.000";"18.850";"23.600";"0.35";"";"";"";"";"6";"";
"FB8";"120R 1A";"FB0402";"0402";"";"0";"180.000";"31.850";"25.300";"0.35";"";"";"";"";"6";"";
"FB9";"120R 1A";"FB0402";"0402";"";"0";"90.000";"11.200";"28.400";"0.35";"";"";"";"";"2";"";
"FB10";"120R 6.0A";"FB0805";"0805";"";"0";"0.000";"56.400";"28.200";"0.51";"";"";"";"";"2";"";
"FB11";"120R 1A";"FB0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"FB12";"120R 1A";"FB0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"IC1";"EP5368";"EP5368";"EP-3X3MMQFN16";"";"";"";"";"";"1.1";"";"";"";"";"";"";
"IC2";"TPS62111";"TPS62111";"PQFP16";"";"0";"180.000";"74.800";"22.000";"1";"";"";"";"";"1";"";
"IC3";"STM32F10XVXT6-FLASH";"STM32F10XVXT6";"TQFP100";"STM32F101/103 100 pin LQFP";"";"";"";"";"";"";"";"";"";"";"";
"IC4";"TFP410";"TFP100";"TQFP-64";"";"0";"180.000";"24.200";"14.800";"1.1";"";"";"";"";"6";"";
"J1";"DNP";"MA03X1100";"MA03-100";"";"";"";"";"";"";"";"";"";"";"";"";
"J2";"0.100 MALE PIN";"2X03SHROUD";"2X03_SHROUD";"";"";"";"";"";"";"";"";"";"";"";"";
"J3";"ML-621S/ZTN";"COIN_CELL_6.8MM";"BATTERY_6.8MM-2998";"";"";"";"";"";"";"";"";"";"";"";"";
"J4";"0.1 FEMALE";"1X06";"1X06";"";"";"";"";"";"";"";"";"";"";"";"";
"J5";"0.1 FEMALE";"2X06";"2X06";"";"";"";"";"";"";"";"";"";"";"";"";
"J6";"MA03X1 MALE";"MA03X1100";"MA03-100";"";"";"";"";"";"";"";"";"";"";"";"";
"J7";"DNP";"2X03";"2X03";"";"";"";"";"";"";"";"";"";"";"";"";
"J8";"DNP";"MA03X1100";"MA03-100";"";"";"";"";"";"";"";"";"";"";"";"";
"J9";"0.100 MALE PIN";"2X03SHROUD";"2X03_SHROUD";"";"";"";"";"";"";"";"";"";"";"";"";
"J10";"USB_MICRO_B";"USB_MICRO_B";"USB_MICRO_B";"";"";"";"";"";"";"";"";"";"";"";"";
"J11";"MA03X1 MALE";"MA03X1100";"MA03-100";"";"";"";"";"";"";"";"";"";"";"";"";
"J12";"CONN20FEMALE";"CONN20HEADER";"057-020-1";"";"";"";"";"";"";"";"";"";"";"";"";
"J13";"CONN10FEMALE";"CONN10HEADER";"057-010-1";"";"";"";"";"";"";"";"";"";"";"";"";
"J14";"USB_MICRO_B";"USB_MICRO_B";"USB_MICRO_B";"";"";"";"";"";"";"";"";"";"";"";"";
"J15";"HDMIMICRO";"HDMIMICRO";"46765-001";"";"0";"180.000";"26.000";"29.400";"";"";"";"";"";"6";"";
"JTAG";"DNP";"1365-10";"1365-10";"DUAL ROW STRAIGHT HEADER 1364 SERIES. 1.27mm x 1.27mm. Without Fixing Post. SMT";"";"";"";"";"";"";"";"unknown";"unknown";"";"";
"K1";"61400826021";"61400826021";"61400826021";"WR-COM Horizontal Dual Stacked USB Type A";"";"";"";"";"";"";"";"";"";"";"";
"L1";"6.8uH";"L1515";"1515";"";"";"";"";"";" 1.9";"";"";"";"";"";"";
"L2";"10uH";"L3232DZ";"3232DZ";"";"0";"180.000";"76.000";"17.000";"";"";"";"";"";"1";"";
"L3";"DLP11SN900HL2";"COM_MODE_CHOKE";"0504-DLP11S";"";"";"";"";"";"0.83";"";"";"";"";"";"";
"L4";"DLP11SN900HL2";"COM_MODE_CHOKE";"0504-DLP11S";"";"";"";"";"";"0.83";"";"";"";"";"";"";
"L5";"DLP11SN900HL2";"COM_MODE_CHOKE";"0504-DLP11S";"";"";"";"";"";"0.83";"";"";"";"";"";"";
"L6";"DLP11SN900HL2";"COM_MODE_CHOKE";"0504-DLP11S";"";"";"";"";"";"0.83";"";"";"";"";"";"";
"L7";"DLP0NSN900HL2";"COM_MODE_CHOKE03025";"03025-DLP0NS";"";"";"";"";"";"0.45";"";"";"";"";"";"";
"L8";"DLP0NSN900HL2";"COM_MODE_CHOKE03025";"03025-DLP0NS";"";"";"";"";"";"0.45";"";"";"";"";"";"";
"L9";"DLP0NSN900HL2";"COM_MODE_CHOKE03025";"03025-DLP0NS";"";"";"";"";"";"0.45";"";"";"";"";"";"";
"L10";"DLP0NSN900HL2";"COM_MODE_CHOKE03025";"03025-DLP0NS";"";"";"";"";"";"0.45";"";"";"";"";"";"";
"L11";"2.2uH";"L1515";"1515";"";"";"";"";"";" 1.9";"";"";"";"";"";"";
"L12";"2.2uH";"L1515";"1515";"";"";"";"";"";" 1.9";"";"";"";"";"";"";
"L13";"2.2uH";"L1515";"1515";"";"";"";"";"";" 1.9";"";"";"";"";"";"";
"L14";"18uH";"WE-PD2_4532";"WE-PD2_4532";"SMD-Power Inductors WE-PD2";"";"";"";"";"";"";"";"";"";"";"";
"L15";"10uH";"L3232DZ";"3232DZ";"";"0";"180.000";"76.000";"17.000";"";"";"";"";"";"1";"";
"Q1";"FDT434P";"BSP170P";"SOT223";"SIPMOS(R) Small-Signal-Transistor P-Channel, Enhancement mode";"";"";"";"";"";"";"";"";"";"";"";
"Q2";"BSS138";"BSS138";"SOT23";"N-Channel Enhancement MOSFET";"";"";"";"";"1.12";"";"";"";"";"";"";
"Q3";"BSS138";"BSS138";"SOT23";"N-Channel Enhancement MOSFET";"";"";"";"";"1.12";"";"";"";"";"";"";
"Q4";"BSS138";"BSS138";"SOT23";"N-Channel Enhancement MOSFET";"";"";"";"";"1.12";"";"";"";"";"";"";
"Q5";"32.768kHz";"ASFL1";"ASF";"CRYSTAL CLOCK OSCILLATORS";"";"";"";"";"";"Abracon Corporation";"ASFL1-125.000MHZ-EC-T";"1838931";"19M1882";"";"";
"Q6";"FDT434P";"BSP170P";"SOT223";"SIPMOS(R) Small-Signal-Transistor P-Channel, Enhancement mode";"";"";"";"";"";"";"";"";"";"";"";
"R1";"15K";"R0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"R2";"DNP";"R0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"R3";"10K";"R0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"R4";"6K8";"R0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"R5";"6K8";"R0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"R6";"2K2";"R0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"R7";"2K2";"R0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"R8";"470R";"R0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"R9";"470R";"R0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"R10";"1K5";"R0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"R11";"6K8";"R0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"R12";"6K8";"R0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"R13";"2K2";"R0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"R14";"2K2";"R0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"R15";"470R";"R0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"R16";"470R";"R0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"R17";"1K5";"R0402";"0402";"";"";"";"";"";"0.35";"";"";"";"";"";"";
"R18";"330R";"R0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"R19";"30K";"R0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"R20";"1K";"R0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"R21";"DNP";"R0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"R22";"DNP";"R0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
